n,id,name,forename,surname,course,school,tutor,career,year,support,photo,username
121,10521084,Sharon Simm,Sharon,Simm,BSc Hons Agricultural Business Management,Politics and International Relations,Patricia Collins,PGT,2,N,30,boytr2
122,10493720,Rocky Singh,Rocky,Singh,MSc Business and Management,Philosophy,Simon Chew,UG,1,N,1,inyop4
123,10201142,Colin Smith,Colin,Smith,BSc Hons Agricultural Business Management,Law,Frances Coady,PGT,3,N,9,sdynn6
124,10938004,Nigel Smith,Nigel,Smith,BA Hons Geography with Business,Law,Kate Beard,PGT,3,N,36,vyyav9
125,10922198,Rachael Smith,Rachael,Smith,MBA Business Administration,Law,Patricia Collins,PGR,1,N,37,hcyev8
126,10457927,Sandra Spence,Sandra,Spence,MSc International Business,Biosciences,Patricia Collins,UG,1,N,3,ipyqt9
127,10211568,John Stevenson,John,Stevenson,BSc Hons Accounting and Business,Business School,Joshua Clarke,PGR,2,N,31,riyhm2
128,10645635,Terence Strain,Terence,Strain,MSc Business and Management,Philosophy,Allison Chan,PGT,2,N,31,poyus4
129,10310658,Sally Stratton,Sally,Stratton,MBA Business Administration,Philosophy,Andrew Allen,UG,2,N,18,ecyzm9
130,10201428,Emma Stride,Emma,Stride,MBA Business Administration,Law,Allison Chan,UG,1,N,6,ppysv5
131,10241128,Tessa Strong,Tessa,Strong,BA Hons Geography with Business,Biosciences,Andrew Allen,PGT,1,N,4,vwysb3
132,10145336,Julia Stuart,Julia,Stuart,BSc Hons Accounting and Business,Biosciences,Kate Beard,PGR,2,N,37,fkykr4
133,10667538,Sean Sullivan,Sean,Sullivan,MBA Business Administration,Philosophy,Kevin Berry,UG,3,N,23,wyyvq4
134,10281499,Nasrin Sultana,Nasrin,Sultana,MBA Business Administration,Philosophy,Susan Burke,PGR,3,N,41,mrybk2
135,10570244,Walter Tan,Walter,Tan,MSc International Business,Politics and International Relations,Allison Chan,UG,1,N,39,csydw6
136,10589235,Matthew Tasker,Matthew,Tasker,MBA Business Administration,Biosciences,Joshua Clarke,PGR,3,Y,46,dvydv2
137,10670713,Margaret Taylor,Margaret,Taylor,BA Hons Geography with Business,Philosophy,Andrew Allen,UG,1,Y,32,goynd0
138,10092862,Joanna Teague,Joanna,Teague,BA Hons Geography with Business,Philosophy,Frances Coady,PGT,1,N,41,mcyth8
139,10514359,Amanda Thacker,Amanda,Thacker,MBA Business Administration,Law,Allison Chan,PGT,4,N,23,hbykf3
140,10244989,Shirley Thompson,Shirley,Thompson,MSc Business and Management,Philosophy,Andrew Allen,PGR,1,N,43,bmyyd2
141,10916501,Stephen Tingle,Stephen,Tingle,MBA Business Administration,Law,Joshua Clarke,PGT,2,N,33,nnyhr9
142,10852764,Christopher Trill,Christopher,Trill,MBA Business Administration,Business School,Kevin Berry,PGR,1,N,3,mcyep0
143,10188895,Zoe Waller,Zoe,Waller,MBA Business Administration,Biosciences,Allison Chan,PGR,4,N,30,gtyct4
144,10126439,Joseph Ward,Joseph,Ward,BA Hons Geography with Business,Biosciences,Patricia Collins,PGT,2,N,10,qvyvf2
145,10852908,Benjamin Watson,Benjamin,Watson,MSc International Business,Politics and International Relations,Kevin Berry,PGR,2,N,11,feyxd8
146,10021619,David Whitaker,David,Whitaker,MBA Business Administration,Biosciences,Simon Chew,UG,1,Y,47,qeymj1
147,10562980,Rob Willson,Rob,Willson,MBA Business Administration,Biosciences,Kate Beard,UG,1,N,1,ysysz6
148,10655223,Neil Wison,Neil,Wison,BSc Hons Accounting and Business,Philosophy,Kate Beard,PGR,3,N,13,bzysl4
149,10859680,Nga Wong,Nga,Wong,MBA Business Administration,Politics and International Relations,Joshua Clarke,PGR,1,N,25,lfymo2
150,10210463,Paul Wood,Paul,Wood,MSc International Business,Law,Frances Coady,PGR,2,N,32,znyos3
151,10179876,Gregorio Bish,Gregorio,Bish,BSc Hons Agricultural Business Management,Politics and International Relations,Simon Chew,UG,3,N,31,xuyaw9
152,10191510,Sibyl Regler,Sibyl,Regler,BA Hons Geography with Business,Philosophy,Kate Beard,PGR,2,N,22,akyaq4
153,10612315,Norbie McGonnell,Norbie,McGonnell,MSc Business and Management,Business School,Frances Coady,UG,1,N,45,txyfh8
154,10326841,Jordon Blaxeland,Jordon,Blaxeland,MSc International Business,Business School,Frances Coady,PGR,1,Y,40,zpyhn5
155,10154226,Hal Winson,Hal,Winson,MSc International Business,Business School,Susan Burke,PGT,1,N,27,byydp9
156,10016148,Malorie Coneley,Malorie,Coneley,BA Hons Geography with Business,Politics and International Relations,Frances Coady,UG,3,N,24,ohyqb6
157,10255108,Aarika Dwire,Aarika,Dwire,BSc Hons Accounting and Business,Biosciences,Frances Coady,PGR,1,N,38,vhyvj7
158,10403659,Skipper Garm,Skipper,Garm,BSc Hons Agricultural Business Management,Biosciences,Patricia Collins,PGT,1,N,1,gjydc3
159,10770297,Annelise Jime,Annelise,Jime,MSc International Business,Philosophy,Andrew Allen,PGR,1,N,50,pcymx4
160,10334717,Grover Randle,Grover,Randle,BSc Hons Agricultural Business Management,Philosophy,Patricia Collins,PGT,2,N,3,miyzb0
161,10401907,Standford Eidler,Standford,Eidler,BSc Hons Accounting and Business,Business School,Simon Chew,UG,4,N,1,uhylb8
162,10732894,Dedra Fortescue,Dedra,Fortescue,BSc Hons Accounting and Business,Biosciences,Andrew Allen,UG,2,N,46,rmymj1
163,10133670,Harwilll Corson,Harwilll,Corson,BSc Hons Agricultural Business Management,Biosciences,Kate Beard,PGR,1,N,48,zeybu1
164,10782993,Dewie Craxford,Dewie,Craxford,MSc Business and Management,Philosophy,Joshua Clarke,UG,4,N,15,xyyib9
165,10406750,Griff Galier,Griff,Galier,BSc Hons Accounting and Business,Law,Frances Coady,PGR,2,N,18,fnyyx9
166,10822791,Giffard Dronsfield,Giffard,Dronsfield,MSc International Business,Law,Kate Beard,PGR,1,N,4,rmyge1
167,10389248,Onofredo Howat,Onofredo,Howat,MBA Business Administration,Business School,Susan Burke,UG,1,N,22,oeypc7
168,10159590,Lazare McCurtin,Lazare,McCurtin,MSc International Business,Philosophy,Patricia Collins,UG,1,N,46,xfywl4
169,10501029,Nance Beavington,Nance,Beavington,BSc Hons Agricultural Business Management,Law,Joshua Clarke,PGR,3,N,8,qaypa5
170,10649815,Tadio Catterill,Tadio,Catterill,BSc Hons Accounting and Business,Business School,Allison Chan,PGR,1,Y,40,vdyts4
171,10751178,Erica Gorstidge,Erica,Gorstidge,BA Hons Geography with Business,Law,Frances Coady,PGT,1,N,5,ojybg1
172,10258323,Donnamarie Smickle,Donnamarie,Smickle,MBA Business Administration,Biosciences,Frances Coady,PGR,3,N,38,yxypy7
173,10469890,Sheilakathryn Jeannon,Sheilakathryn,Jeannon,BSc Hons Agricultural Business Management,Politics and International Relations,Kate Beard,UG,2,N,27,bcypb0
174,10407954,Allix Gillio,Allix,Gillio,BA Hons Geography with Business,Biosciences,Andrew Allen,UG,2,N,42,dcyjm9
175,10150878,Inessa Aykroyd,Inessa,Aykroyd,MBA Business Administration,Law,Kate Beard,PGT,1,N,5,gpycw4
176,10713287,Sayer Moakes,Sayer,Moakes,BSc Hons Accounting and Business,Biosciences,Joshua Clarke,PGR,2,N,27,fkyej1
177,10567778,Aarika Guinery,Aarika,Guinery,BA Hons Geography with Business,Philosophy,Joshua Clarke,PGT,2,N,49,exyba7
178,10181378,Avie Janczyk,Avie,Janczyk,BA Hons Geography with Business,Biosciences,Joshua Clarke,PGR,3,N,36,wzyjd8
179,10972848,Killian Bestwick,Killian,Bestwick,BSc Hons Accounting and Business,Biosciences,Kate Beard,PGT,1,N,10,cdyrm5
180,10700587,Lorette Standish-Brooks,Lorette,Standish-Brooks,BA Hons Geography with Business,Politics and International Relations,Simon Chew,UG,3,N,47,hqyfh6
181,10245343,Rodge Robelin,Rodge,Robelin,MBA Business Administration,Biosciences,Kevin Berry,UG,3,N,34,maynf5
182,10511257,Barney Gjerde,Barney,Gjerde,BSc Hons Agricultural Business Management,Biosciences,Andrew Allen,UG,1,N,44,hiymf4
183,10931729,Ericka Zucker,Ericka,Zucker,MBA Business Administration,Law,Allison Chan,PGR,1,N,6,kuygx3
184,10718513,Frances Rosen,Frances,Rosen,MSc Business and Management,Law,Simon Chew,PGT,1,N,3,lxyqo1
185,10809731,Kermie Muggleton,Kermie,Muggleton,BSc Hons Accounting and Business,Business School,Susan Burke,PGR,1,N,25,coyqz0
186,10243963,Isidoro Alsina,Isidoro,Alsina,MSc International Business,Biosciences,Frances Coady,UG,3,N,35,yhydn9
187,10937902,Damon Itzchaky,Damon,Itzchaky,MSc International Business,Business School,Joshua Clarke,PGR,3,N,28,ivytc3
188,10820909,Guthry Stell,Guthry,Stell,BSc Hons Agricultural Business Management,Business School,Frances Coady,UG,2,N,16,nlygg6
189,10927272,Josselyn Birkmyr,Josselyn,Birkmyr,MSc International Business,Business School,Susan Burke,PGR,1,N,5,gjyzn6
190,10125965,Jonas Joslin,Jonas,Joslin,BSc Hons Accounting and Business,Law,Andrew Allen,PGR,1,N,50,tlyab6
191,10838956,Corri Dakhno,Corri,Dakhno,MBA Business Administration,Politics and International Relations,Kevin Berry,PGR,4,N,44,tbyzb5
192,10814900,Nickolaus Lorraway,Nickolaus,Lorraway,MSc Business and Management,Politics and International Relations,Andrew Allen,PGT,1,N,29,awyjt3
193,10388540,Ashly Slowan,Ashly,Slowan,MSc International Business,Biosciences,Susan Burke,PGT,2,N,22,eayay9
194,10252242,Sile Minors,Sile,Minors,MSc International Business,Philosophy,Allison Chan,PGR,3,N,50,myyjk1
195,10287147,Marijn Masterton,Marijn,Masterton,BSc Hons Agricultural Business Management,Law,Frances Coady,PGT,1,N,30,olywx5
196,10323002,Jens Escoffrey,Jens,Escoffrey,BA Hons Geography with Business,Politics and International Relations,Frances Coady,PGR,3,N,35,ufylx3
197,10097751,Obadias Creavin,Obadias,Creavin,BSc Hons Agricultural Business Management,Law,Kevin Berry,UG,1,N,45,bxyjp6
198,10615804,Conrad Westmore,Conrad,Westmore,MBA Business Administration,Law,Frances Coady,PGT,2,N,13,ndysd7
199,10936088,Meridel Trussell,Meridel,Trussell,MSc International Business,Law,Patricia Collins,PGR,3,Y,46,hqyhu5
200,10231402,Chan Rippingall,Chan,Rippingall,BSc Hons Agricultural Business Management,Law,Andrew Allen,UG,3,N,28,opyrl9
201,10770658,Gavra Limmer,Gavra,Limmer,BA Hons Geography with Business,Law,Patricia Collins,UG,1,N,17,leytm2
202,10047754,Myranda Ingarfill,Myranda,Ingarfill,BSc Hons Agricultural Business Management,Law,Kate Beard,PGR,4,N,48,ehyjp8
203,10115880,Jarrett Worcester,Jarrett,Worcester,BSc Hons Agricultural Business Management,Philosophy,Patricia Collins,PGR,3,N,25,ccyes2
204,10785762,Renelle Hairs,Renelle,Hairs,MBA Business Administration,Law,Allison Chan,PGR,1,N,46,uuykx3
205,10188761,Ariella Pessler,Ariella,Pessler,BSc Hons Accounting and Business,Business School,Kate Beard,PGR,3,N,2,zoyzb0
206,10291127,Isa Schoolfield,Isa,Schoolfield,BSc Hons Accounting and Business,Philosophy,Kate Beard,UG,2,N,2,lsyrs3
207,10106586,Alfreda Harmston,Alfreda,Harmston,MSc International Business,Philosophy,Kate Beard,PGT,2,N,40,khyhh6
208,10905327,Bax Raggatt,Bax,Raggatt,BSc Hons Accounting and Business,Politics and International Relations,Susan Burke,UG,2,N,37,cbyfb5
209,10934373,Shem Vardy,Shem,Vardy,BSc Hons Accounting and Business,Politics and International Relations,Kate Beard,UG,1,N,17,hhyoj6
210,10810269,Waverly Hardington,Waverly,Hardington,MSc Business and Management,Philosophy,Kate Beard,PGT,3,Y,46,dkyyv6
211,10360436,Brose Newby,Brose,Newby,BA Hons Geography with Business,Law,Frances Coady,UG,1,N,12,gcyaq3
212,10821695,Hewett Dearn,Hewett,Dearn,MBA Business Administration,Law,Kate Beard,PGT,2,N,14,cgyys1
213,10120091,Bertie Sclanders,Bertie,Sclanders,MBA Business Administration,Philosophy,Frances Coady,PGR,3,N,49,sdymn1
214,10476766,Gardner Hallford,Gardner,Hallford,BA Hons Geography with Business,Biosciences,Allison Chan,UG,2,N,32,ogyyi5
215,10692159,Klarrisa Liveing,Klarrisa,Liveing,BSc Hons Accounting and Business,Philosophy,Kevin Berry,UG,4,N,39,tjyyz0
216,10342416,Loretta Vecard,Loretta,Vecard,BSc Hons Agricultural Business Management,Business School,Frances Coady,PGR,1,N,12,yxyms3
217,10132245,Woodrow Reddick,Woodrow,Reddick,MBA Business Administration,Law,Patricia Collins,UG,1,N,11,qpyee1
